Name,Latitude,Longitude,Address,Review_URL,Image_URL
NFA Burger - Dunwoody,33.9475624,-84.334979,"Inside the Chevron, 5465 Chamblee Dunwoody Rd, Dunwoody, GA 30338, USA",https://www.fox5atlanta.com/video/1207353,Kevin Rathbun.png
The Vortex Bar & Grill,33.7662472,-84.3492306,"438 Moreland Ave NE, Atlanta, GA 30307, USA",https://www.fox5atlanta.com/video/1573280,C:\Users\marct\Documents\burgerATL-app\Vortex.png
Bocado,33.9048891,-84.4276985,"6300 Powers Ferry Rd NW Suite 400, Atlanta, GA 30339, USA",https://www.fox5atlanta.com/video/1136171,C:\Users\marct\Documents\burgerATL-app\Bocado.png
H Fitness,33.8589812,-84.3801023,"3833 Roswell Rd NE Ste 102, Atlanta, GA 30342, USA",,
Atlanta Botanical Garden,33.7899568,-84.3725988,"1345 Piedmont Ave NE, Atlanta, GA 30309, USA",,
T's Burger Bar,33.7510813,-84.7485201,"12375 Veterans Memorial Hwy, Douglasville, GA 30134, USA",https://www.fox5atlanta.com/video/fmc-s3row0cgtk4nceji,C:\Users\marct\Documents\burgerATL-app\Tracy T Dougasville.png
Bomb Biscuit Atlanta,33.7461492,-84.3704637,"519 Memorial Dr SE UNIT B2, Atlanta, GA 30312, USA",https://www.fox5atlanta.com/video/fmc-y54xlsya7q8rawt1,
Mobay Spice Atlanta,33.8141904,-84.3115386,"2953 N Druid Hills Rd suite, Atlanta, GA 30329, USA",,
Nest on Four,33.7585169,-84.4007167,"159 Northside Dr NW, Atlanta, GA 30313, USA",,
McKendrick's Steak House,33.9244944,-84.3352548,"4505 Ashford Dunwoody Rd, Atlanta, GA 30346, USA",,
5Church Midtown,33.7870834,-84.3828185,"1197 Peachtree St NE #528, Atlanta, GA 30361, USA",https://www.fox5atlanta.com/video/fmc-34lo7erjcqf7o09r,5church.png
The Grove Restaurant & Tavern,33.8242842,-84.2934652,"2761 Lavista Rd, Decatur, GA 30033, USA",,
Love You Brunches,33.6433969,-84.0228972,"1805 Parker Rd SE Suite F-110, Conyers, GA 30094, USA",,
Barn Belly Burgers,34.009567,-84.7517681,"8492 Hiram Acworth Hwy #129, Dallas, GA 30157, USA",,
Industry Tavern,33.8451745,-84.3713644,"3280 Peachtree Rd NE #187, Atlanta, GA 30305, USA",,
Marcus Bar & Grille,33.754018,-84.370301,"525 Edgewood Ave SE, Atlanta, GA 30312, USA",,
Elise,33.7895157,-84.3856966,"1280 Peachtree St NE, Atlanta, GA 30309, USA",,
State Farm Arena,33.7574062,-84.396233,"1 State Farm Dr, Atlanta, GA 30303, USA",,
Confab Kitchen & Bar,33.861106,-84.3327859,"1350 Dresden Dr NE Suite 1015, Atlanta, GA 30319, USA",,
Jersey Mike's Subs,33.8576361,-84.3829318,"3740 Roswell Rd NE, Atlanta, GA 30342, USA",,
"EscovitcheZ, Atlanta Restaurant",33.8496248,-84.2555611,"4800 Briarcliff Rd NE Suite 2510, Atlanta, GA 30345, USA",,
Chico Cantina,33.8695543,-84.3360869,"705 Town Blvd Q310, Atlanta, GA 30319, USA",,
NoriFish Sandy Springs,33.9176864,-84.3506622,"1115 Springwood Connector #2000, Sandy Springs, GA 30328, USA",,
Breakfast On Luckie Street,33.763169,-84.3963143,"320 Luckie St NW, Atlanta, GA 30313, USA",,
Miller's Rexall Drug,33.7807273,-84.2406768,"4584 Memorial Dr, Decatur, GA 30032, USA",,
The General Muir,33.8011787,-84.3272123,"1540 Avenue Pl B-230, Atlanta, GA 30329, USA",,
Fred's Meat & Bread,33.7568416,-84.3639288,"Krog Street Market, 99 Krog St NE, Atlanta, GA 30307, USA",,
Majestic Diner,33.7736624,-84.3536731,"1031 Ponce De Leon Ave NE, Atlanta, GA 30306, USA",,
The Family Dog,33.7925986,-84.3524467,"1402 N Highland Ave NE, Atlanta, GA 30306, USA",,
UP on the Roof,34.0746906,-84.294836,"33 S Main St, Alpharetta, GA 30009, USA",,
"The Partridge Inn Augusta, Curio Collection by Hilton",33.4752497,-82.0099756,"2110 Walton Wy, Augusta, GA 30904, USA",,
Nick's Westside,33.7808769,-84.4130034,"956 Brady Ave NW STE 100, Atlanta, GA 30318, USA",,
No Idea Burger Joint,33.9218376,-84.1697671,"1560 Indian Trail Lilburn Rd NW Ste. 103, Norcross, GA 30093, USA",,
RaceTrac Store Support Center,33.8859164,-84.4637418,"200 Galleria Dr SE #900, Atlanta, GA 30339, USA",,
Farm Burger Decatur,33.7754327,-84.3029173,"410B W Ponce de Leon Ave, Decatur, GA 30030, USA",,
Garden and Gun Club,33.8899,-84.4678,"2605 Circle 75 Pkwy UNIT 410, Atlanta, GA 30339",https://www.fox5atlanta.com/video/fmc-o39ac22dpzmta94h,Garden & Gun.png
Rose Bar,33.8415349,-84.36983,"3115 Piedmont Rd NE, Atlanta, GA 30305, USA",,
Season,33.955426,-84.5436822,"301 Lemon St NE SUITE A, Marietta, GA 30060, USA",,
Brasserie Margot,33.7860672,-84.3852926,"75 14th St NE, Atlanta, GA 30309, USA",,
Saltwood Charcuterie & Bar,33.7835524,-84.3833196,"1065 Peachtree St NE, Atlanta, GA 30309, USA",,
Hubcap Grill & Beer Yard,29.9857899,-95.3509817,"2800 N Terminal Rd, Houston, TX 77032, USA",,
Eclipse di Luna - Buckhead,33.8320552,-84.3616904,"764 Miami Cir NE, Atlanta, GA 30324, USA",,
Muss & Turner's,33.8494205,-84.4918403,"1675 Cumberland Pkwy SE Suite 309, Cumberland, GA 30080, USA",,
Grindhouse Killer Burgers,33.8061072,-84.3672228,"1842 Piedmont Ave NE, Atlanta, GA 30324, USA",,
Village Burger,33.9497849,-84.3328054,"1426 Dunwoody Village Pkwy, Dunwoody, GA 30338, USA",,
Lucky's Burger & Brew,34.0301486,-84.3555104,"1144 Alpharetta St, Roswell, GA 30075, USA",,
Stockyard Burgers and Bones,33.953493,-84.550797,"26 Mill St, Marietta, GA 30060, USA",,
Universal Joint Decatur,33.7594521,-84.3030657,"906 Oakview Rd, Decatur, GA 30030, USA",,
Steinbeck's,33.7592037,-84.3035233,"659 East Lake Dr, Decatur, GA 30030, USA",,
The Brewhouse Cafe,33.7651879,-84.3488655,"401 Moreland Ave NE, Atlanta, GA 30307, USA",,
